,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,0,partie,part
1,1,1,1,1,histoire,history
2,2,2,2,2,chercher,search
3,4,4,4,4,police,police
4,5,5,5,5,pensais,thought
5,6,6,7,7,demande,request
6,7,7,8,8,genre,kind
7,8,8,9,10,frère,brother
8,9,9,10,11,laisser,let
9,10,10,11,12,car,because
10,12,12,13,14,aucun,no
11,13,13,14,15,laisse,leash
12,14,14,15,16,eux,them
13,15,15,16,17,ville,city
14,16,16,17,18,chaque,each
15,18,19,21,22,bébé,baby
16,19,20,22,23,longtemps,long time
17,20,21,23,24,heures,hours
18,21,22,24,25,vont,will
19,22,23,26,27,revoir,meet again
20,23,24,27,28,aucune,any
21,24,25,28,29,place,square
22,25,26,29,30,parle,speak
23,26,27,30,31,compris,understood
24,27,28,31,32,savais,knew
25,28,29,32,33,étaient,were
26,29,30,33,34,attention,Warning
27,30,31,34,35,voici,here is
28,31,32,35,36,pourrais,could
29,32,33,36,37,affaire,case
30,33,34,37,38,donner,give
31,35,36,39,40,leurs,their
32,36,37,40,41,donné,given
33,37,38,41,42,train,train
34,38,39,42,43,corps,body
35,39,40,43,45,yeux,eyes
36,40,41,44,46,façon,way
37,41,42,45,47,écoute,listen
38,42,43,46,48,trouve,find
39,43,44,47,49,premier,first
40,44,45,48,50,perdu,lost
41,45,46,49,51,main,hand
42,46,47,50,52,première,first
43,47,49,52,55,vieux,old
44,48,50,53,56,sois,be
45,49,51,54,57,tiens,here
46,50,52,55,58,matin,morning
47,51,53,56,59,tellement,so much
48,52,54,57,60,enfant,child
49,53,55,58,61,point,point
50,54,56,59,62,venu,came
51,55,57,60,63,suite,after
52,56,58,61,64,pardon,sorry
53,57,59,62,65,venez,come
54,58,60,63,66,devant,in front of
55,59,61,64,67,vers,towards
56,60,62,65,68,minutes,minutes
57,61,63,66,69,demandé,request
58,62,64,67,70,chambre,bedroom
59,63,65,68,71,mis,placed
60,64,66,69,72,belle,beautiful
61,65,67,70,73,droit,law
62,66,68,71,74,aimerais,would like to
63,67,69,72,75,aujourd'hui,today
64,69,71,74,77,cause,cause
65,70,72,75,78,enfin,finally
66,71,73,76,79,espère,hope
67,72,74,77,80,eau,water
68,73,75,78,81,attendez,Wait
69,74,76,79,82,parti,left
70,75,77,80,83,nouvelle,new
71,76,78,81,84,boulot,job
72,77,79,82,85,arrêter,Stop
73,78,80,83,86,dirait,would say
74,79,81,84,87,terre,Earth
75,80,83,86,89,donne,given
76,81,84,87,90,loin,far
77,83,86,89,92,croire,believe
78,84,87,90,93,chérie,sweetheart
79,85,88,91,94,gros,large
80,86,89,92,95,plutôt,rather
81,87,90,93,96,aura,will have
82,88,91,94,97,filles,girls
